Fish,Stimulus_dB,Blk00,Blk01,Blk02,Blk03,Blk04,Blk05,Blk06,Blk07,Blk08,Blk09,Blk10,Blk11,Blk12,Blk13,Blk14,Blk15,Blk16,Blk17,Blk18,Blk19,Blk20,Blk21,Blk22,Blk23,Blk24,Blk25,Blk26,Blk27,Blk28,Blk29,Blk30,Blk31,Blk32,Blk33,Blk34,Blk35,Blk36,Blk37,Blk38,Blk39,Blk40,Blk41,Blk42,Blk43,Blk44,Blk45,Blk46,Blk47,Blk48,Blk49,Blk50,Blk51,Blk52,Blk53,Blk54,Blk55,Blk56,Blk57,Blk58,Blk59,Blk60,Blk61,Blk62,Blk63,Blk64,Blk65
track_tld7_a000_00_e00000-f01,0,26.97938,24.43665,13.59086,26.42440,17.44425,25.43337,29.13750,34.11172,24.52926,22.26422,20.85322,22.15870,34.76851,23.31432,23.51803,41.26067,33.11487,31.88589,23.35868,24.91174,26.18209,26.20699,24.02866,27.02059,26.56530,8.04155,24.29402,30.60359,16.76860,32.22606,28.21121,16.97958,23.41971,23.81530,26.13684,28.85992,24.45378,21.69226,20.55305,6.15704,10.85069,21.38108,32.29073,27.37015,20.04812,26.98795,19.56840,5.23169,17.79260,23.59886,28.19242,23.92867,33.37223,20.67674,25.21940,55.06595,28.17087,26.56999,29.24328,19.37446,18.45107,29.52308,26.20496,37.02653,37.48322,32.39257
track_tld7_a000_00_e00000-f02,0,41.71418,21.86192,16.62174,27.10479,23.66409,33.49931,22.22713,29.25685,36.68525,28.76448,36.52189,28.38702,24.18008,25.24761,17.37459,8.41374,32.69855,26.04809,18.11347,37.03905,31.66628,38.04128,17.97460,15.91164,33.29032,16.73413,14.59481,10.79823,40.46125,23.40426,30.64993,32.62795,28.16904,24.84842,8.40037,21.84173,23.53456,24.18641,29.25051,15.20653,25.81947,22.38129,22.98361,23.88936,27.34616,21.50407,17.41121,26.68806,24.62570,23.09645,15.80081,29.19844,29.17818,37.88400,25.02145,24.44771,26.10547,27.87902,19.30330,29.90156,16.04914,23.23432,23.16240,22.81991,22.34301,38.91523
track_tld7_a000_00_e00000-f03,0,37.63296,28.65572,22.79579,13.10728,34.74623,21.55540,36.59023,24.27979,14.89076,22.17005,27.59715,24.22343,13.74833,28.60901,25.21602,19.02534,25.39186,16.82039,18.09464,18.05460,11.11533,27.86932,35.14343,33.35147,23.78250,34.72199,30.20743,27.55577,37.62662,39.82016,18.66779,38.97113,28.43534,26.55720,20.47998,38.62980,12.12651,42.38383,26.50557,31.64988,30.01599,10.60244,29.28841,23.88093,22.63460,14.76888,27.75032,36.72966,33.45833,38.79925,35.20159,33.60873,34.14014,34.49283,39.64628,42.46332,43.29192,41.03788,31.01171,30.89750,9.07860,41.67136,48.98964,40.63046,39.82917,36.22194
track_tld7_a000_00_e00000-f04,0,6.79517,10.05682,10.70890,22.39471,14.40712,4.59098,6.17209,7.89448,18.78282,27.91411,21.08457,28.76496,17.40788,6.20381,13.92763,6.59817,8.24272,19.68332,8.61812,12.25414,3.64058,15.79950,17.47142,4.85338,36.24750,12.57904,18.81934,27.06127,22.65269,34.06408,15.57818,34.60656,26.36340,34.21327,26.22544,12.84895,25.73931,16.64172,24.20783,19.91220,32.44046,27.12750,20.17626,14.79955,36.45393,30.54647,38.89068,26.05538,35.71114,27.86585,28.14166,38.04525,23.30750,35.44502,32.30555,35.10077,23.78387,33.02675,33.40122,36.42477,29.09460,28.58276,24.66577,33.11542,26.01716,22.63043
track_tld7_a000_00_e00000-f05,0,25.49237,21.88754,11.10041,10.70810,12.52624,21.66106,23.96229,10.81502,13.96035,9.22986,11.37818,3.51004,3.56787,2.84504,2.35938,1.68027,2.64475,15.37206,19.08601,10.16429,19.26095,22.18715,6.41060,1.66609,11.43018,42.62862,26.33839,18.49316,28.78143,24.23081,17.43264,16.87833,29.74269,26.83538,31.51293,27.07040,26.77203,15.77961,26.69457,28.23305,26.66749,24.60601,24.58277,28.95694,23.05998,39.71564,25.75756,44.28349,17.30188,30.45671,31.66168,16.46569,29.26120,10.26355,25.76830,38.93290,30.85187,23.06908,31.58973,19.27579,22.59042,33.08452,26.74904,20.83576,22.14420,29.77395
track_tld7_a000_00_e00000-f06,0,27.54193,34.67638,25.76925,29.84676,9.28450,14.71424,14.20406,31.73479,23.73966,26.59219,18.11853,9.08063,9.47205,9.57551,25.47475,20.14106,14.58206,7.60373,22.11650,37.99973,31.20020,19.11576,32.62476,19.26885,40.02787,34.36105,38.31337,13.66738,32.74456,29.80281,34.33139,11.96102,39.72143,51.63831,29.00423,23.82693,10.61001,15.25138,38.06704,14.36377,36.12985,25.40471,20.41197,23.46792,42.16917,31.34204,22.39299,27.78573,40.12386,39.52399,37.02552,44.15646,52.45548,38.13158,27.67489,34.35759,19.46598,44.58025,34.04724,45.83799,49.18854,37.96246,36.89679,41.05671,22.67995,44.75550
track_tld7_a000_00_e00000-f07,0,24.83776,29.56538,31.19820,20.64066,43.79804,33.48474,44.00969,34.25083,32.30494,31.61849,38.77109,28.45937,41.74442,37.38480,34.01293,36.30442,30.75028,40.39706,23.88165,34.38926,45.00970,30.43369,42.99847,20.55902,44.73087,36.58933,36.58678,34.80994,44.77419,38.71966,31.78210,26.62625,36.72706,35.95366,32.88286,41.23681,50.10411,43.42630,37.06143,46.45150,39.27643,43.52546,50.37579,26.27761,54.63820,33.27343,34.47270,34.00250,17.57950,27.64659,38.56245,39.70926,28.24676,32.18763,39.72945,24.57686,27.75946,23.01105,34.18874,28.19556,26.27987,21.25864,30.25842,24.25256,32.17124,19.98118
track_tld7_a000_00_e00000-f08,0,32.20165,35.50141,30.56919,24.32176,62.99869,32.11548,33.73182,32.33145,29.70708,47.49879,31.87003,31.51053,35.46307,28.95996,38.48045,24.88382,27.49476,25.59608,26.43268,34.46505,27.34663,34.63474,33.35093,35.18986,37.71164,33.99466,35.35099,32.53043,35.90073,42.65388,31.15797,34.93249,35.48195,39.43222,44.31369,28.10831,40.21121,51.22206,31.09491,43.64418,13.83235,46.44398,46.49102,30.24932,33.72258,26.08753,39.89111,31.87187,42.07702,37.89290,31.27288,31.17641,26.96529,39.65221,30.57373,40.26560,27.28000,28.94483,44.28325,32.38208,27.62794,27.40547,34.19459,34.79442,23.27957,16.83438
track_tld7_a000_00_e00000-f09,0,46.91300,35.48477,28.93153,29.58540,43.73193,32.03595,25.15965,21.83307,28.29350,26.81636,31.43422,29.54545,42.86007,33.29950,29.29096,29.02469,21.22059,28.69083,31.63451,41.99323,31.96090,30.46378,39.95935,44.22962,40.44382,12.42333,46.38475,42.67759,22.96980,25.44093,46.22123,18.00023,41.92273,34.11223,41.23141,30.29047,42.71121,27.05753,35.21169,28.97749,37.61044,31.82405,21.13829,43.57420,32.09761,53.54840,27.03130,20.86038,38.55694,34.14750,44.57702,20.89588,34.21244,31.08240,47.26479,28.53748,34.68346,35.55388,42.13179,38.27898,39.68716,21.84333,40.08293,47.85461,35.17562,25.12871
track_tld7_a000_00_e00066-f01,0,20.92895,21.25649,32.63401,11.69446,19.79327,19.35120,9.34138,15.37634,21.67686,17.80181,17.32510,21.58309,16.48826,33.74426,41.39163,22.78578,16.87073,17.33906,22.51991,20.14280,26.87096,9.49451,36.05893,24.03994,26.09965,15.22274,9.56932,30.89675,37.47544,19.62440,38.22394,20.78694,14.41098,25.75082,15.94763,16.85430,25.77112,26.35914,24.83771,16.95717,18.35516,26.67871,28.52202,7.51109,34.74187,29.90376,31.79924,36.38583,32.52455,32.98521,20.83677,25.54042,26.49087,28.65469,23.68726,36.71871,39.68406,26.32246,24.58031,35.94016,43.44450,36.75439,38.55576,31.69374,50.98962,43.10269
