Bout,Cond,Fish,Response,Displacement
Forward,baseline,1,0.08421052631579,28.047573125
Forward,baseline,2,0.178947368421053,19.7077057058824
Forward,baseline,3,0.105263157894737,19.8275501
Forward,baseline,4,0.157894736842105,19.3063047333333
Forward,baseline,5,0.073684210526316,27.7979464285714
Forward,baseline,6,0.094736842105263,16.16437
Forward,baseline,7,0.08421052631579,22.1888255
Forward,baseline,8,0.147368421052632,19.0218437857143
Forward,baseline,9,0.168421052631579,18.152092625
Forward,baseline,10,0.126315789473684,21.213582
Forward,baseline,11,0.2,19.3562112631579
Forward,baseline,12,0.126315789473684,18.08568075
Forward,baseline,13,0.147368421052632,14.6141925
Forward,baseline,14,0.147368421052632,14.1290841428571
Forward,baseline,15,0.147368421052632,15.9962815714286
Forward,baseline,16,0.168421052631579,18.5264893125
Forward,Arrest,1,0.189473684210526,12.976895
Forward,Arrest,2,0.157894736842105,19.1071514666667
Forward,Arrest,3,0.052631578947368,6.5253734
Forward,Arrest,4,0.021052631578947,6.400445
Forward,Arrest,5,0.094736842105263,16.3419341111111
Forward,Arrest,6,0.052631578947368,14.8910218
Forward,Arrest,7,0.115789473684211,18.1509264545455
Forward,Arrest,8,0.147368421052632,17.6927478571429
Forward,Arrest,9,0.094736842105263,19.1252705555556
Forward,Arrest,10,0.115789473684211,13.1179963636364
Forward,Arrest,11,0.021052631578947,10.5819695
Forward,Arrest,12,0.126315789473684,17.92371825
Forward,Arrest,13,0.052631578947368,13.2467978
Forward,Arrest,14,0.021052631578947,0.0350985
Forward,Arrest,15,0.08421052631579,10.59382425
Forward,Arrest,16,0.063157894736842,10.6195945
Turn,baseline,17,0.1368421053,23.3234789231
Turn,baseline,18,0.0947368421,27.4481443333
Turn,baseline,19,0.1157894737,20.3862176364
Turn,baseline,20,0.3263157895,27.6637612903
Turn,baseline,21,0.3263157895,23.4190983226
Turn,baseline,22,0.1473684211,24.7459263571
Turn,baseline,23,0.2421052632,24.6701813913
Turn,baseline,24,0.2842105263,29.0483932593
Turn,baseline,25,0.2526315789,32.9309457083
Turn,baseline,26,0.2842105263,25.6931189259
Turn,baseline,27,0.1789473684,23.4040645882
Turn,baseline,28,0.1263157895,30.4173101667
Turn,baseline,29,0.1684210526,29.10997125
Turn,baseline,30,0.1052631579,28.8149725
Turn,baseline,31,0.2210526316,21.9542012381
Turn,baseline,32,0.2947368421,28.8960849643
Turn,baseline,33,0.2315789474,32.8576125909
Turn,arrest,17,0.1578947368,21.9174084
Turn,arrest,18,0.1789473684,35.7219197647
Turn,arrest,19,0.0736842105,15.8660717143
Turn,arrest,20,0.0421052632,7.49739225
Turn,arrest,21,0.1789473684,23.3422961765
Turn,arrest,22,0.1368421053,19.92641
Turn,arrest,23,0.1473684211,18.9191672143
Turn,arrest,24,0.1789473684,33.0078378824
Turn,arrest,25,0.1157894737,25.6207698182
Turn,arrest,26,0.2105263158,24.4153777
Turn,arrest,27,0.1473684211,13.0387758571
Turn,arrest,28,0.1473684211,22.2948696429
Turn,arrest,29,0.0315789474,23.3014056667
Turn,arrest,30,0.0105263158,0
Turn,arrest,31,0.1789473684,14.8032820588
Turn,arrest,32,0.0421052632,19.7990365
Turn,arrest,33,0.0736842105,23.9566545714
