fish,dspeed,baseline,group
r0_00_f01,-1.58120299444444,20.6695812777778,control
r0_00_f02,-1.65056775833333,32.2165205833333,control
r0_00_f03,-1.94088795972222,27.0946745972222,control
r0_00_f04,-1.26463307777778,30.9159027777778,control
r0_00_f05,-0.952306105555556,19.2948330555556,control
r0_00_f06,-2.9674029625,29.674029625,control
r0_00_f07,-1.71257275694444,24.7973062361111,control
r0_00_f08,-2.01337819861111,28.5576796527778,control
r0_00_f09,-2.46490050972222,41.2900787638889,control
r0_01_f01,-1.64524254583333,23.840858125,control
r0_01_f02,-1.90725378055556,21.1938538055556,control
r0_01_f03,-1.85313742916667,34.0738032916667,control
r0_01_f04,-2.08671726111111,22.9968476111111,control
r0_01_f05,-0.874841256944445,30.7416749027778,control
r0_01_f06,-1.29002415833333,32.2151305833333,control
r0_01_f07,-1.34805595,23.9003591666667,control
r0_01_f08,-1.7046984375,26.713811375,control
r0_01_f09,-1.02529504305556,33.1022874305556,control
r0_02_f01,-1.59015587083333,22.5851640416667,control
r0_02_f02,-1.74153501805556,18.2941041805556,control
r0_02_f03,-2.86958189861111,28.6958189861111,control
r0_02_f04,-2.24781407361111,24.3162797361111,control
r0_02_f05,-1.54998339305556,32.7848662638889,control
r0_02_f06,-3.04455540694444,32.0826307361111,control
r0_02_f07,-0.299276180555555,27.8539421388889,control
r0_02_f08,-2.60635240555556,29.7824717222222,control
r0_02_f09,-1.50966919305556,24.2859052638889,control
r1_00_f01,-0.765414105555556,20.7713307222222,ablated
r1_00_f02,-1.2429027125,14.464852125,ablated
r1_00_f03,-0.798360058333333,37.8821015833333,ablated
r1_00_f04,-2.613145625,26.13145625,ablated
r1_00_f05,0.059277072222222,10.7930712777778,ablated
r1_00_f06,-1.62159665,31.4542991666667,ablated
r1_00_f07,-0.380568479166666,28.456503125,ablated
r1_00_f08,-0.584646308333333,30.4392064166667,ablated
r1_00_f09,-0.476839783333333,15.8997108333333,ablated
r1_01_f01,-1.83759079166667,18.3759079166667,ablated
r1_01_f02,-1.49195848055556,26.0938634722222,ablated
r1_01_f03,-1.17001555138889,26.9416168472222,ablated
r1_01_f04,-1.52148064583333,29.7297914583333,ablated
r1_01_f05,-0.704078540277778,26.8206477361111,ablated
r1_01_f06,-1.84158642361111,31.3352795694444,ablated
r1_01_f07,0.218296408333333,25.29777925,ablated
r1_01_f08,-0.765134358333333,9.66724508333333,ablated
r1_01_f09,-0.225767288888889,12.8791955555556,ablated
r1_02_f01,-1.94546712222222,24.2973788888889,ablated
r1_02_f02,-1.68994468472222,29.9933621805556,ablated
r1_02_f03,-1.73218112361111,27.6080239027778,ablated
r1_02_f04,-2.30955248472222,23.2054005138889,ablated
r1_02_f05,-0.44325385,31.9388968333333,ablated
r1_02_f06,-0.911816151388889,30.2277931805556,ablated
r1_02_f07,-1.55936016805556,26.6570196805556,ablated
r1_02_f08,-0.052982140277778,18.5054234027778,ablated
r1_02_f09,-0.871109868055556,29.4534203472222,ablated
