fish,dspeed,baseline,group
r0_00_ f01,-2.20829493472222,37.4460476805556,control
r0_00_ f02,0.2229741,26.2520003333333,control
r0_00_ f03,-1.40491604166667,42.0736450833333,control
r0_00_ f04,-2.15776914444444,34.8052911111111,control
r0_00_ f05,-1.89933542916667,33.4030252916667,control
r0_00_ f06,-2.13744754444444,36.6280244444444,control
r0_00_ f07,-0.489775001388889,22.6747143472222,control
r0_00_ f08,-1.38428273194444,21.8665803194444,control
r0_00_ f09,-1.76849771111111,35.6220797777778,control
r0_01_ f01,-3.54983251944444,38.3129741944444,control
r0_01_ f02,-0.349202634722222,32.4460116805556,control
r0_01_ f03,-2.96863556805556,31.1169396805556,control
r0_01_ f04,-1.51410146944444,28.9655143611111,control
r0_01_ f05,-1.95635629583333,27.587363625,control
r0_01_ f06,-0.989114758333333,31.6473585833333,control
r0_01_ f07,-3.43904395694444,35.0666892361111,control
r0_01_ f08,-0.743083951388889,36.6014081805556,control
r0_01_ f09,-1.86694577777778,29.9424131111111,control
r0_02_ f01,-2.74215005555556,32.2267742222222,control
r0_02_ f02,-2.81888267638889,29.6581780972222,control
r0_02_ f03,-3.42017351527778,41.2400388194444,control
r0_02_ f04,-1.52510371527778,18.2353684861111,control
r0_02_ f05,-2.31270891527778,36.4579684861111,control
r0_02_ f06,-2.20252771527778,34.0290571527778,control
r0_02_ f07,-4.46202485138889,46.5673348472222,control
r0_02_ f08,-1.16880107222222,24.2065373888889,control
r0_02_ f09,-2.15471535972222,28.7779912638889,control
r1_00_ f01,-0.620438798611111,30.1840246527778,ablated
r1_00_ f02,-1.48786443611111,21.3035240277778,ablated
r1_00_ f03,-1.82795363333333,30.797349,ablated
r1_00_ f04,-0.632474561111111,25.4547446111111,ablated
r1_00_ f05,-2.15911048611111,34.9375831944444,ablated
r1_00_ f06,-0.733923995833334,40.015856625,ablated
r1_00_ f07,-1.091610775,35.90124075,ablated
r1_00_ f08,1.92490150972222,44.7776459027778,ablated
r1_00_ f09,-0.720391645833333,20.9987794583333,ablated
r1_01_ f01,-2.35617169027778,32.0632639027778,ablated
r1_01_ f02,-1.78008084166667,30.4174454166667,ablated
r1_01_ f03,-1.94988056875,37.3770561875,ablated
r1_01_ f04,-0.006894877777778,34.3920437777778,ablated
r1_01_ f05,-1.01418383611111,34.7268210277778,ablated
r1_01_ f06,-1.63344225138889,38.1638685138889,ablated
r1_01_ f07,1.28536079722222,34.7250366944444,ablated
r1_01_ f08,-1.00014083611111,27.9786186944444,ablated
r1_01_ f09,-0.06159045,19.0489181666667,ablated
r1_02_ f01,-1.7387763875,22.8496372083333,ablated
r1_02_ f02,-1.38223007638889,45.7879030972222,ablated
r1_02_ f03,-2.07075152222222,32.1207132222222,ablated
r1_02_ f04,-1.8440898375,23.974102375,ablated
r1_02_ f05,-1.03758838333333,45.9808891666667,ablated
r1_02_ f06,0.375458173611111,21.4004135972222,ablated
r1_02_ f07,1.13246789305556,32.5943587361111,ablated
r1_02_ f08,-0.202132781944444,32.8736794861111,ablated
r1_02_ f09,-0.753296452083333,22.7061555208333,ablated
