fish,dspeed,baseline,group
r0_00_ f01,-2.37722998888889,49.0693028888889,control
r0_00_ f02,-3.3136597625,70.5024372916667,control
r0_00_ f04,-2.10942410416667,42.936990375,control
r0_00_ f05,-1.60613775277778,46.2479121944444,control
r0_00_ f07,-0.642049320833333,34.582226875,control
r0_00_ f08,-0.916628479166667,45.865203125,control
r0_01_ f01,-1.97923734722222,41.0007431388889,control
r0_01_ f02,-3.79109978055556,56.6605431388889,control
r0_01_ f04,-2.32537799583333,47.173984625,control
r0_01_ f05,-2.28902052222222,48.1523355555556,control
r0_01_ f07,-1.65687539583333,41.1341782916667,control
r0_01_ f08,-0.745543136111111,12.5042183611111,control
r0_02_ f01,-1.99713282777778,57.2300066111111,control
r0_02_ f02,-1.93169073472222,29.4917123472222,control
r0_02_ f04,-2.50522707361111,49.9699877361111,control
r0_02_ f05,-2.18292078611111,44.8851818611111,control
r0_02_ f07,-0.87090705,49.2122101666667,control
r0_02_ f08,-2.36823210277778,40.6894436944444,control
r0_03_ f01,-1.56980139305556,35.1727739305556,control
r0_03_ f02,-3.16142750416667,46.4981937083333,control
r0_03_ f04,-2.9035647625,44.9265342916667,control
r0_03_ f05,-1.82064671388889,49.0863638055556,control
r0_03_ f07,-3.27775799583333,41.2487672916667,control
r0_03_ f08,-1.62818492638889,53.1317729305556,control
r1_00_ f01,-0.477984002777778,40.8978000277778,ablated
r1_00_ f02,-0.201928855555555,41.0274492222222,ablated
r1_00_ f04,-2.64575444027778,61.9224757361111,ablated
r1_00_ f05,-4.38073406388889,62.2958103055556,ablated
r1_00_ f07,-1.86280895555556,39.4566625555556,ablated
r1_00_ f08,-0.444525872222222,4.44525872222222,ablated
r1_01_ f01,-1.74713432361111,40.6009982361111,ablated
r1_01_ f02,-1.31530764722222,45.3881438055556,ablated
r1_01_ f04,-1.54250156666667,56.3307596666667,ablated
r1_01_ f05,-5.05830614027778,50.9813607361111,ablated
r1_01_ f07,-1.3115632,33.1744893333333,ablated
r1_01_ f08,-0.695536190277778,53.5890099027778,ablated
r1_02_ f01,-2.64816435277778,54.8988668611111,ablated
r1_02_ f02,-3.43837069722222,45.2083303055556,ablated
r1_02_ f04,-2.945899075,46.87550575,ablated
r1_02_ f05,-1.8892938,42.380232,ablated
r1_02_ f07,-0.383342113888889,50.3059848055556,ablated
r1_02_ f08,-1.7055850125,42.6357224583333,ablated
r1_03_ f01,-1.78118860277778,44.1708383611111,ablated
r1_03_ f02,-4.32244707777778,56.5885827777778,ablated
r1_03_ f04,-0.476384684722222,53.9757608472222,ablated
r1_03_ f05,-0.847183959722222,63.5115659305556,ablated
r1_03_ f07,-0.008230141666666,63.01697875,ablated
r1_03_ f08,-1.42070224027778,57.9592404027778,ablated
