fish,dspeed,baseline,group
r0_00_ f01,-2.69672390972222,34.6154327638889,control
r0_00_ f02,-1.48546159305556,37.7034972638889,control
r0_00_ f03,-3.09014600833333,41.19517675,control
r0_00_ f04,NA,32.3099768888889,control
r0_00_ f05,-2.43308183472222,33.4402480138889,control
r0_00_ f06,-1.54705652222222,29.1869218888889,control
r0_00_ f07,-3.37897562916667,35.8429772916667,control
r0_00_ f08,NA,35.6972122777778,control
r0_00_ f09,-2.14528330625,38.1435950625,control
r0_01_ f01,-1.4527065875,37.786444875,control
r0_01_ f02,-3.24374286388889,43.4539769722222,control
r0_01_ f03,-3.03579964166667,30.4883844166667,control
r0_01_ f04,-1.71223638611111,35.5988151944444,control
r0_01_ f05,-2.56571413888889,39.6912053888889,control
r0_01_ f06,-2.28141658055556,38.5369281388889,control
r0_01_ f07,-1.24545165,35.4486765,control
r0_01_ f08,-2.39690479583333,41.0586599583333,control
r0_01_ f09,-0.811308370833333,23.2695620416667,control
r1_00_ f01,-2.07956807361111,32.1865884027778,ablated
r1_00_ f02,-3.63332117638889,43.0635107638889,ablated
r1_00_ f03,-1.86814310972222,36.5044040972222,ablated
r1_00_ f04,-1.08359595138889,41.8453928472222,ablated
r1_00_ f05,-3.76732487361111,38.9461287361111,ablated
r1_00_ f06,-1.41831840555556,35.4854590555556,ablated
r1_00_ f07,-0.675129825,24.27480025,ablated
r1_00_ f08,-2.90008519166667,37.8473759166667,ablated
r1_00_ f09,-2.82183786527778,43.4124613194444,ablated
