id,cond,baseline,disp24,speedchange,timetorecov
c000uM_00-e01,control,3.7131489,1.8207876,-1.1481603,10
c000uM_00-e02,control,2.9966263,0.3162108,-2.44658,55
c000uM_00-e03,control,2.2781118,1.0190207,-1.58418125,20
c000uM_00-e04,control,3.514291,0.5469092,-2.934892,35
c000uM_00-e05,control,2.5823105,0.2423315,-2.3932428,25
c000uM_00-e06,control,1.8634569,0.2950128,-1.5809779,30
c000uM_00-e07,control,3.2347145,0.3100785,-3.01320205,55
c000uM_00-e08,control,3.600214,0.543718,-3.26401625,30
c000uM_00-e09,control,2.80877025,0.09617495,-2.670973625,20
c000uM_01-e01,control,2.68261435,0.95424855,-2.177589475,40
c000uM_01-e02,control,4.1978218,0.2994226,-3.69640485,100
c000uM_01-e03,control,3.6851048,0.1378613,-3.18751375,25
c000uM_01-e04,control,5.1012497,0.4563886,-4.74500285,50
c000uM_01-e05,control,3.6748219,1.6821238,-0.8330474,10
c000uM_01-e06,control,4.15172405,1.260517,-2.080511125,12.5
c000uM_01-e07,control,3.5248264,0.9414055,-2.9321857,20
c000uM_01-e08,control,7.6854553,0.3372256,-6.14465325,90
c000uM_01-e09,control,3.9500645,0.3306968,-2.0738612,10
c000uM_02-e01,control,3.0045691,0.2894764,-2.58575805,20
c000uM_02-e02,control,2.8243261,0.7827109,-2.1518535,15
c000uM_02-e03,control,3.2683815,0.4344619,-2.92322945,25
c000uM_02-e04,control,3.5898609,0.4615979,-3.00992105,15
c000uM_02-e05,control,3.7028343,0.4970511,-3.3202639,50
c000uM_02-e06,control,3.471838,1.2404917,-2.1207568,15
c000uM_02-e07,control,3.3028732,2.490741,-0.6437059,10
c000uM_02-e08,control,3.4578117,2.4423647,-0.87118765,10
c000uM_02-e09,control,3.6758549,1.2667315,-3.18363655,25
d025uM_00-e01,25 uM,3.3227806,1.2515793,-1.1494827,10
d025uM_00-e02,25 uM,3.0547358,0.6135633,-1.81138005,15
d025uM_00-e03,25 uM,3.5587261,0.2508838,-3.05899865,20
d025uM_00-e04,25 uM,4.9916332,0.7768921,-4.56313695,35
d025uM_00-e05,25 uM,4.2936932,0.455885,-4.04575075,30
d025uM_00-e06,25 uM,3.4647717,2.8249125,-1.0735639,35
d025uM_00-e07,25 uM,4.3535751,2.4897491,-1.56072675,15
d025uM_00-e08,25 uM,2.8219999,1.10000635,-2.2384831,55
d025uM_00-e09,25 uM,3.8702877,0.96712645,-3.099022175,60
d025uM_01-e01,25 uM,3.9017807,2.7858692,-1.90572405,15
d025uM_01-e02,25 uM,5.4879436,2.1242056,-1.27121965,15
d025uM_01-e03,25 uM,4.6067013,0.7438239,-1.9973006,10
d025uM_01-e04,25 uM,4.6663105,1.2865685,-2.9324808,15
d025uM_01-e05,25 uM,4.31740225,0.4897311,-2.19945145,12.5
d025uM_01-e06,25 uM,3.8753223,2.8768112,-1.3469954,20
d025uM_01-e07,25 uM,3.5377262,0.9644941,-2.1844892,10
d025uM_01-e08,25 uM,4.2743229,1.4260828,-1.6850062,10
d025uM_01-e09,25 uM,2.9543756,0.9017416,-1.9830112,15
