fish,dspeed,baseline,group,
1,r0404_c03-f03,-2.50929244583333,3.03532774583333,control
2,r0404_c03-f04,-2.38289065,3.65258231666667,control
3,r0404_c03-f05,-2.04987477777778,3.34508871111111,control
4,r0404_c03-f06,-1.04244863888889,3.14285713888889,control
5,r0404_c03-f07,-1.95466314861111,3.31726254861111,control
6,r0404_c03-f08,-2.92954682083333,3.63542712083333,control
7,r0404_c03-f09,-2.35975601666667,3.19205848333333,control
8,r0404_c04-f01,-0.803033238888889,3.91069590555556,control
9,r0404_c04-f03,0.073162773611111,3.89288402638889,control
10,r0404_c04-f06,-2.54578628611111,3.41304901944444,control
11,r0404_c04-f07,-2.15920805,3.27675331666667,control
12,r0404_c04-f09,-3.02789184166667,3.19161014166667,control
13,r0404_c05-f01,-2.18873780972222,3.07455900972222,control
14,r0404_c05-f05,-2.45283737638889,3.26110547638889,control
15,r0404_c05-f06,-2.67830771388889,3.09181604722222,control
16,r0418_c01-f06,-3.32336327361111,3.46282060694444,control
17,r0418_c02-f01,-2.07317829166667,3.94410669166667,control
18,r0418_c02-f02,-2.5191549125,3.5118999125,control
19,r0418_c02-f03,-2.45574731944444,3.89307535277778,control
20,r0418_c02-f04,-2.88855195694444,3.93321265694444,control
21,r0418_c02-f05,-3.53000037916667,3.9351800125,control
22,r0418_c02-f06,-2.58006717916667,3.3036487125,control
23,r0426_c00-f04,-2.544198225,3.043847225,control
24,r0426_c00-f07,-2.93615956388889,3.20041346388889,control
25,r0426_c02-f02,-0.751024668055556,3.58297003472222,control
26,r0426_c02-f04,-1.16677935833333,3.224944825,control
27,r0426_c02-f06,-1.92936705694444,3.04348622361111,control
28,r0426_c02-f07,-2.05794628611111,3.50696908611111,control
29,r0426_c03-f03,-1.99518942361111,3.47827525694444,control
30,r0426_c03-f05,-1.37893449027778,3.92610275694444,control
31,r0426_c03-f07,-1.19767341666667,3.18712355,control
32,r0426_c04-f05,-3.06716288472222,3.44935125138889,control
33,r0426_c04-f06,-2.75400458194444,3.29456528194444,control
34,r0523_c01-f06,-3.32336327361111,3.46282060694444,control
35,r0523_c02-f01,-2.07317829166667,3.94410669166667,control
36,r0523_c02-f02,-2.5191549125,3.5118999125,control
37,r0523_c02-f03,-2.45574731944444,3.89307535277778,control
38,r0523_c02-f04,-2.88855195694444,3.93321265694444,control
39,r0523_c02-f05,-3.53000037916667,3.9351800125,control
40,r0523_c02-f06,-2.58006717916667,3.3036487125,control
41,r0404_d00-f02,-0.941983911111111,3.28664797777778,ICL
42,r0404_d00-f04,-2.65802184444444,3.34044491111111,ICL
43,r0404_d00-f05,-2.59921365972222,3.64634769305556,ICL
44,r0404_d00-f06,-1.42909098194444,3.76092574861111,ICL
45,r0404_d01-f01,-0.045962384722222,3.24803451805556,ICL
46,r0404_d01-f02,-2.41846025,3.02365481666667,ICL
47,r0404_d01-f03,-0.279621745833333,3.19988164583333,ICL
48,r0404_d01-f05,-3.2923379375,3.61530720416667,ICL
49,r0404_d01-f06,-3.25187870416667,3.5638188375,ICL
50,r0404_d01-f08,-3.06135512083333,3.4220537875,ICL
51,r0404_d02-f01,-1.56423709861111,3.97751116527778,ICL
52,r0404_d02-f02,-2.2132020875,3.17259285416667,ICL
53,r0404_d02-f04,-2.79611758194444,3.24298821527778,ICL
54,r0404_d02-f05,-2.40662106388889,3.40790903055556,ICL
55,r0404_d02-f07,-0.744350827777778,3.03168806111111,ICL
56,r0404_d02-f08,-3.03618532083333,3.35198312083333,ICL
57,r0404_d02-f09,0.3001534375,3.29417442916667,ICL
58,r0418_d00-f01,-1.5583977875,3.7905120875,ICL
59,r0418_d00-f05,-2.25170620694444,3.13309774027778,ICL
60,r0418_d00-f06,-2.37472979583333,3.4189721625,ICL
61,r0418_d00-f07,-2.64982699722222,3.55511379722222,ICL
62,r0418_d01-f04,-0.414210784722222,3.07007555138889,ICL
63,r0418_d01-f05,-1.37833618194444,3.93455321527778,ICL
64,r0418_d01-f07,-3.65223859027778,3.75844559027778,ICL
65,r0418_d01-f09,-2.36131392361111,3.00271129027778,ICL
66,r0426_d00-f05,-2.38690396666667,3.7298189,ICL
67,r0426_d01-f01,0.702534830555556,3.29848706944444,ICL
68,r0426_d01-f02,-0.228409673611111,3.33688580694444,ICL
69,r0426_d01-f03,-2.60767685277778,3.45487391944444,ICL
70,r0426_d01-f05,-0.902947725,3.34327919166667,ICL
71,r0426_d01-f08,-1.99699509722222,3.33238409722222,ICL
72,r0426_d02-f01,-0.7836160875,3.3203680875,ICL
73,r0426_d02-f05,-2.82526522638889,3.77037445972222,ICL
74,r0426_d02-f08,-0.485588034722222,3.79981270138889,ICL
75,r0523_d00-f01,-1.5583977875,3.7905120875,ICL
76,r0523_d00-f05,-2.25170620694444,3.13309774027778,ICL
77,r0523_d00-f06,-2.37472979583333,3.4189721625,ICL
78,r0523_d00-f07,-2.64982699722222,3.55511379722222,ICL
79,r0523_d01-f04,-0.414210784722222,3.07007555138889,ICL
80,r0523_d01-f05,-1.37833618194444,3.93455321527778,ICL
81,r0523_d01-f07,-3.65223859027778,3.75844559027778,ICL
82,r0523_d01-f09,-2.36131392361111,3.00271129027778,ICL
