fish,dspeed,baseline,group,
1,r0418_e01-f02,-2.70202683333333,3.04912553333333,Control
2,r0418_e01-f04,-0.523282288888889,3.06012332222222,Control
3,r0418_e02-f02,-2.65768908472222,3.59352651805556,Control
4,r0418_e02-f04,-1.04260366805556,3.09521553472222,Control
5,r0418_e02-f05,-2.12506340694444,3.53743877361111,Control
6,r0418_e02-f06,-1.30191146666667,3.12509216666667,Control
7,r0426_e00-f02,-0.8889240875,3.0992568875,Control
8,r0426_e00-f03,-2.13097914305556,3.12843734305556,Control
9,r0426_e00-f05,-3.13312343055556,3.57079556388889,Control
10,r0426_e00-f07,-3.33750759444444,3.97820412777778,Control
11,r0426_e00-f08,-0.331432731944445,3.41572643194444,Control
12,r0426_e01-f03,0.653876672222222,3.66885099444444,Control
13,r0426_e01-f04,-2.49419196527778,3.07630733194444,Control
14,r0426_e01-f05,-1.79897636527778,3.09517843194444,Control
15,r0426_e01-f08,-1.99883274166667,3.473323475,Control
16,r0426_e02-f02,0.000614084722222,3.32691978194444,Control
17,r0426_e02-f07,-0.570955930555555,3.05123096388889,Control
18,r0523_e01-f02,-2.70202683333333,3.04912553333333,Control
19,r0523_e01-f04,-0.523282288888889,3.06012332222222,Control
20,r0523_e02-f02,-2.65768908472222,3.59352651805556,Control
21,r0523_e02-f04,-1.04260366805556,3.09521553472222,Control
22,r0523_e02-f05,-2.12506340694444,3.53743877361111,Control
23,r0523_e02-f06,-1.30191146666667,3.12509216666667,Control
24,r0418_f01-f02,-0.248373672222222,3.10341363888889,ICLmut
25,r0418_f01-f04,-0.219874940277778,3.26919464027778,ICLmut
26,r0418_f01-f07,-2.90228165416667,3.0368870875,ICLmut
27,r0418_f01-f08,-3.49650384166667,3.87851190833333,ICLmut
28,r0418_f01-f09,-2.38317566666667,3.5315055,ICLmut
29,r0418_f03-f01,-2.95213941111111,3.40909941111111,ICLmut
30,r0418_f03-f04,-1.49130612638889,3.22950629305556,ICLmut
31,r0426_f00-f01,-2.25888073888889,3.65080643888889,ICLmut
32,r0426_f00-f03,-2.41179667777778,3.44388711111111,ICLmut
33,r0426_f00-f04,-1.19296190138889,3.52257693472222,ICLmut
34,r0426_f02-f03,-0.769670666666667,3.99373346666667,ICLmut
35,r0426_f02-f04,-2.97474338055556,3.35647391388889,ICLmut
36,r0426_f02-f05,-3.22736009305556,3.50489069305556,ICLmut
37,r0426_f02-f06,-0.995188986111111,3.32194845277778,ICLmut
38,r0426_f02-f07,-2.29900167916667,3.1465640125,ICLmut
39,r0426_f02-f08,-0.270329419444444,3.07614055277778,ICLmut
40,r0426_f03-f05,-2.89112662361111,3.19914349027778,ICLmut
41,r0426_f03-f08,-2.48147664861111,3.24362768194444,ICLmut
42,r0523_f01-f02,-0.248373672222222,3.10341363888889,ICLmut
43,r0523_f01-f04,-0.219874940277778,3.26919464027778,ICLmut
44,r0523_f01-f07,-2.90228165416667,3.0368870875,ICLmut
45,r0523_f01-f08,-3.49650384166667,3.87851190833333,ICLmut
46,r0523_f01-f09,-2.38317566666667,3.5315055,ICLmut
47,r0523_f03-f01,-2.95213941111111,3.40909941111111,ICLmut
48,r0523_f03-f04,-1.49130612638889,3.22950629305556,ICLmut
