File,Group,terk,perk,PT
Cn2_07-01,control,441.987061,314.333405,0.7111823688
Cn2_08-01,control,411.98822,362.195679,0.8791408623
Cn2_09-01,control,435.074738,268.064117,0.6161334906
Cn_01-01,control,608.190674,328.69696,0.5404505101
Cn_02-01,control,443.214508,343.577301,0.7751941663
Cn_03-01,control,638.6474,393.235992,0.6157325498
Cn_04-01,control,409.51532,276.378937,0.6748927903
Cn_05-01,control,559.218201,397.236816,0.7103431456
Cn_06-01,control,577.651489,280.271057,0.4851905731
Cn_07-01,control,499.636475,374.951904,0.7504494223
Cn_08-01,control,700.749146,419.376373,0.598468618
Cn_09-01,control,569.450256,269.760956,0.4737217222
TI2_07-01,poststim,343.328918,462.965546,1.3484606793
TI2_08-01,poststim,455.269806,474.500854,1.0422409915
TI2_09-01,poststim,370.209167,389.37619,1.0517734965
TI_01-01,poststim,295.942413,425.004272,1.4361046384
TI_02-01,poststim,317.991547,367.233795,1.1548539528
TI_03-01,poststim,250.282181,285.064056,1.1389706405
TI_04-01,poststim,394.390228,475.466248,1.2055730955
TI_05-01,poststim,331.280243,386.097443,1.1654707794
TI_06-01,poststim,315.830444,326.460266,1.0336567364
TI_07-01,poststim,279.605804,301.231964,1.0773451756
TI_08-01,poststim,285.666931,316.774994,1.1088962691
TI_09-01,poststim,362.185303,365.164215,1.0082248285
