File,TotIDd,TotAnd,React,AllTurns,Swim,Scoot
sham,19,17,88.2,52.9,35.3,5.9
sham,15,14,64.3,23.1,23.1,15.4
sham,27,26,50,24,24,24
sham,28,14,100,7.7,69.2,69.2
sham,26,22,68.2,13.6,40.9,27.3
sham,29,25,68,26.1,39.1,34.8
sham,23,21,71.4,33.3,33.3,23.8
sham,22,17,88.2,13.3,66.7,33.3
sham,27,24,66.7,8.3,58.3,25
sham,27,23,69.6,39.1,30.4,30.4
sham,30,30,56.7,10,46.7,46.7
sham,30,27,66.7,29.6,33.3,33.3
sham,30,29,48.3,24.1,24.1,24.1
sham,24,21,66.7,9.5,47.6,47.6
sham,30,28,42.9,17.9,14.3,14.3
ablated,27,18,77.8,17.6,52.9,35.3
ablated,30,10,100,11.1,66.7,66.7
ablated,30,20,85,5.6,72.2,72.2
ablated,27,18,88.9,5.9,82.4,70.6
ablated,24,20,90,25,56.3,25
ablated,17,17,52.9,25,25,18.8
ablated,30,30,33.3,20,13.3,13.3
ablated,25,24,16.7,4.2,4.2,4.2
ablated,15,14,57.1,7.1,35.7,35.7
ablated,18,16,43.8,20,20,20
ablated,19,18,16.7,0,16.7,16.7
ablated,30,30,13.3,0,6.7,6.7
